distance,k,auc_mean,auc_std,f1_mean,f1_std,top1_mean,top1_std,top3_mean,top3_std
euclidean,1,0.7987948550086594,0.020540944720108745,0.6340493141422763,0.03440502681833198,0.6584781209781209,0.03486597149500366,0.7292953667953668,0.03229099918513906
euclidean,2,0.8615145107271671,0.021022378794224958,0.5805541288595711,0.03503919484267425,0.6217905405405405,0.03309617809738122,0.8278957528957529,0.03393402503199851
euclidean,3,0.8852404844991992,0.019177932438360034,0.6062518724329886,0.0485882194448412,0.6612290862290862,0.04271378216028521,0.8664494851994853,0.029676148887186154
euclidean,4,0.9030306342831883,0.018538779517436686,0.6582988938443822,0.02871289020583807,0.698005148005148,0.038097045180451684,0.8771879021879021,0.03269806542122785
euclidean,5,0.9137221934847564,0.0206429401420132,0.6652661213700193,0.04667431504952152,0.706917631917632,0.03477563599993639,0.8763111325611327,0.034690165833928414
euclidean,6,0.9236866641231078,0.01790571253522118,0.6715781094344742,0.03752305695531449,0.719481981981982,0.03267491349782163,0.8870495495495495,0.03367920244188821
euclidean,7,0.9253884781583068,0.01841656441888448,0.6792935083732985,0.03863252410003633,0.7123391248391248,0.033821411447341784,0.8906531531531531,0.035381714883897325
euclidean,8,0.9337838442448427,0.016218817927406884,0.6946033529616605,0.04422779241602549,0.7347249034749035,0.019431410378411458,0.8969192406692408,0.029865212758407065
euclidean,9,0.9369889928339079,0.013532749401019843,0.7137116400631298,0.049456459204029385,0.7454633204633205,0.020416610827406367,0.9085505148005147,0.026943238472754736
euclidean,10,0.9415827749747244,0.012401779680521552,0.7072372828460669,0.029214602840866764,0.7418758043758044,0.03113609799053647,0.9112532175032175,0.025637163003906754
euclidean,11,0.9441724619897937,0.011510822863278937,0.7119392450419316,0.034457174623035804,0.758011583011583,0.02522800550367734,0.9121541184041184,0.02778012778599488
euclidean,12,0.9443992681736368,0.011803412320775877,0.7183756108110767,0.04077524402293762,0.7525981338481339,0.03590045642969444,0.9130550193050192,0.028690010222442212
euclidean,13,0.9460719045606112,0.012316306024076937,0.710964094400956,0.04017660518986501,0.7498793436293436,0.03743522562241591,0.9139398326898327,0.025502048275834792
euclidean,14,0.9484247769780815,0.012442240541122541,0.712727899828921,0.0443971479911781,0.7553088803088803,0.028032306362900675,0.9157496782496782,0.022044804947257173
euclidean,15,0.9490261113634404,0.011338456590149577,0.7272654915188439,0.035593971726727076,0.759740990990991,0.03611017510926555,0.9184282496782498,0.022906878804101655
cosine,1,0.8299019949346675,0.018914972091552778,0.6873206475113973,0.03150635374532329,0.7141007078507078,0.03337467656343461,0.7786357786357786,0.028419452075394445
cosine,2,0.8898968032495768,0.02097978052324025,0.6613335750376634,0.04622994678663959,0.7007561132561132,0.028761756894302545,0.8700530888030888,0.03040821952650342
cosine,3,0.9139725135709259,0.020503853533680942,0.710563170842516,0.04861402081553511,0.74368564993565,0.033367913843371295,0.9031853281853282,0.030934816829764438
cosine,4,0.9273846404723148,0.01743094712329227,0.7405759921043454,0.03799346042958669,0.7714768339768341,0.02949355524270273,0.9085666023166024,0.033117120932368994
cosine,5,0.9350684822462723,0.01549071941491664,0.7523556702002129,0.030430329220286535,0.7705437580437582,0.03242975904948732,0.9184362934362934,0.027343453755467654
cosine,6,0.941124738894696,0.01409218267135448,0.7492855645756248,0.0456372619819272,0.7848536036036036,0.029059083194523435,0.9220318532818533,0.02564402671199168
cosine,7,0.946540761778048,0.011313427014668876,0.7810973419663603,0.03689517989470665,0.7920205920205919,0.028125979715656536,0.924702380952381,0.021720096497157768
cosine,8,0.9509103478585443,0.01190006885172924,0.7662573585747328,0.03865915882068776,0.799235842985843,0.03087716676198058,0.9283059845559845,0.022720478479473404
cosine,9,0.9536529764267895,0.012991255310439985,0.7606974654106274,0.029441308872085126,0.8019144144144145,0.03251372572055011,0.9336711711711712,0.021352691693193752
cosine,10,0.9563527725980752,0.01098550146544071,0.7669547432911626,0.03091454541801784,0.7920608108108108,0.031067956200991932,0.9381595881595881,0.016272377392281365
cosine,11,0.9582777695928144,0.009684752357601347,0.7641690946921473,0.028059342542541055,0.7965331402831403,0.0314489800791888,0.9328024453024453,0.01795273093231114
cosine,12,0.9591182581041264,0.009863361585745987,0.7625262434232962,0.023106129647278335,0.7992197554697554,0.024284835562782707,0.9336711711711713,0.022393313874609116
cosine,13,0.9598152447815835,0.010345287021248012,0.7665550619080719,0.029778663010106274,0.7938787001287,0.019918763419688987,0.9372506435006436,0.019256879395116704
cosine,14,0.9625969005020989,0.010342409988130264,0.7603761608808439,0.032360629863359906,0.8028153153153154,0.027863749698525835,0.9426077863577863,0.019008448674307815
cosine,15,0.9636308991300447,0.009784126572409518,0.7630612315839171,0.039002559650721046,0.8055099742599742,0.03338881413174118,0.9435086872586874,0.017139625219155002
